months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported
32,38,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,1997,N
26,42,OH,100/300,1000,1484.48,0,MALE,PhD,armed-forces,sleeping,not-in-family,50700,-36300,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,10,1,NO,2,3,?,63030,5730,11460,45840,Saab,1996,N
328,48,IL,250/500,500,1411.43,0,MALE,Masters,armed-forces,bungie-jumping,own-child,45100,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,17,1,YES,2,1,NO,59400,5940,11880,41580,Honda,2014,N
114,30,OH,250/500,1000,1173.25,0,FEMALE,Masters,protective-serv,dancing,husband,0,-34700,Vehicle Theft,?,Minor Damage,,WV,3,1,NO,0,3,YES,4680,520,520,3640,Chevrolet,2013,N
261,42,OH,250/500,500,1337.56,0,FEMALE,College,prof-specialty,video-games,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,18,1,?,1,2,YES,74700,7470,14940,52290,Dodge,2010,N
404,53,IN,250/500,500,767.14,0,MALE,Associate,sales,reading,not-in-family,25500,-36700,Parked Car,?,Trivial Damage,Police,WV,8,1,NO,0,1,NO,8800,1760,880,6160,Suburu,2002,N
106,30,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,2005,N
179,32,OH,100/300,1000,1433.42,6000000,FEMALE,Associate,protective-serv,base-jumping,own-child,53800,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,4,1,YES,1,2,NO,54200,5420,10840,37940,Nissan,2014,Y
61,24,IN,100/300,500,922.67,0,FEMALE,College,priv-house-serv,paintball,other-relative,47400,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,15,3,YES,2,1,?,65520,9360,9360,46800,Toyota,2011,Y
199,41,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,1999,N
405,57,IN,500/1000,1000,1132.47,4000000,MALE,MD,priv-house-serv,exercise,other-relative,46300,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,NY,21,3,?,2,3,?,61440,10240,10240,40960,Saab,2008,N
405,55,IL,250/500,500,878.19,0,MALE,PhD,machine-op-inspct,golf,unmarried,57100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,2,4,YES,0,2,NO,38640,4830,4830,28980,Chevrolet,1997,N
285,43,OH,100/300,2000,1512.58,0,FEMALE,College,sales,paintball,other-relative,47600,0,Vehicle Theft,?,Minor Damage,Police,SC,7,1,?,1,1,?,2520,280,280,1960,BMW,1997,N
166,38,IL,100/300,2000,1588.55,0,MALE,MD,protective-serv,video-games,unmarried,59600,-32100,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,8,1,NO,0,0,?,40320,5760,5760,28800,Suburu,2001,N
103,27,IN,100/300,1000,1537.33,0,FEMALE,College,handlers-cleaners,board-games,husband,0,-74800,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,11,3,YES,1,1,NO,77700,7770,15540,54390,Jeep,2008,N
177,34,IL,100/300,2000,1057.77,0,FEMALE,JD,tech-support,bungie-jumping,unmarried,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,22,3,?,1,1,NO,18000,2250,2250,13500,Audi,2009,N
120,28,IL,250/500,1000,1281.27,0,FEMALE,PhD,tech-support,golf,not-in-family,68900,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,9,3,NO,0,3,?,65500,6550,6550,52400,BMW,2010,N
225,43,OH,100/300,1000,1517.54,0,MALE,JD,priv-house-serv,camping,own-child,0,-20900,Multi-vehicle Collision,Rear Collision,Major Damage,Police,SC,16,3,NO,2,0,YES,64400,6440,6440,51520,BMW,2011,N
411,56,IL,250/500,1000,1595.28,0,FEMALE,College,protective-serv,exercise,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,23,3,?,0,0,?,38610,3510,3510,31590,Volkswagen,2007,N
153,34,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,9,3,NO,2,1,?,68400,11400,11400,45600,Ford,2007,N
50,44,OH,250/500,2000,1188.51,0,MALE,College,handlers-cleaners,bungie-jumping,unmarried,0,-65800,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,15,3,?,1,2,NO,61100,6110,12220,42770,Dodge,2008,N
160,38,OH,250/500,500,1733.56,0,MALE,High School,sales,sleeping,wife,0,-43800,Multi-vehicle Collision,Side Collision,Major Damage,Fire,SC,13,3,NO,2,1,YES,66780,7420,14840,44520,Mercedes,1996,N
208,36,IL,250/500,500,1153.49,0,MALE,Associate,craft-repair,base-jumping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,16,3,YES,1,0,YES,50500,10100,5050,35350,Accura,2004,N
196,36,IN,250/500,2000,1463.07,0,MALE,MD,armed-forces,skydiving,own-child,0,0,Vehicle Theft,?,Trivial Damage,Police,WV,3,1,?,1,1,NO,5300,530,530,4240,Jeep,2001,Y
436,60,IN,250/500,500,1362.31,0,MALE,High School,prof-specialty,bungie-jumping,wife,67600,-65300,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,VA,16,1,NO,0,2,NO,82060,14920,7460,59680,Saab,2005,N
2,28,IL,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,golf,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,19,1,YES,0,2,YES,58140,6460,6460,45220,Saab,2008,N
131,29,IN,250/500,1000,978.27,0,FEMALE,Associate,sales,paintball,own-child,65700,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,5,1,?,1,3,NO,76400,15280,7640,53480,Suburu,2003,N
461,57,IL,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,golf,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,7,3,NO,0,1,?,59040,9840,9840,39360,Dodge,1995,N
230,39,IL,100/300,1000,904.7,7000000,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68600,-22300,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,0,1,?,1,3,NO,74200,14840,14840,44520,Accura,2002,Y
0,32,OH,500/1000,1000,1377.04,0,MALE,College,tech-support,base-jumping,wife,61400,-41100,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,6,4,?,1,1,NO,39720,6620,6620,26480,Accura,2002,N
65,23,OH,250/500,1000,1099.95,0,FEMALE,College,sales,dancing,wife,0,-71900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,14,1,NO,1,0,YES,52400,6550,6550,39300,Accura,2005,Y
89,32,IN,250/500,1000,988.93,0,FEMALE,High School,craft-repair,golf,unmarried,27600,0,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,11,1,?,2,3,YES,84590,15380,15380,53830,Dodge,1999,N
164,38,IL,250/500,2000,1269.76,0,FEMALE,PhD,transport-moving,yachting,not-in-family,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,4,1,NO,1,3,YES,90000,18000,9000,63000,Ford,2015,N
305,49,IL,100/300,2000,1347.92,0,FEMALE,High School,farming-fishing,bungie-jumping,own-child,0,-42100,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,21,3,YES,0,2,?,66550,12100,6050,48400,Volkswagen,2003,N
97,28,OH,100/300,1000,830.31,0,MALE,JD,farming-fishing,video-games,husband,0,-32600,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,22,1,?,1,0,?,45270,10060,10060,25150,Jeep,2006,N
56,36,IN,100/300,500,1533.07,0,MALE,JD,farming-fishing,exercise,own-child,0,-28800,Single Vehicle Collision,Rear Collision,Major Damage,Police,NC,13,1,YES,1,2,YES,58500,0,6500,52000,Ford,2001,N
435,60,OH,500/1000,500,1064.49,5000000,MALE,Associate,priv-house-serv,chess,other-relative,73500,-43300,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,23,1,NO,2,1,?,62880,5240,10480,47160,Mercedes,2007,Y
124,28,OH,250/500,1000,1235.14,0,MALE,MD,exec-managerial,camping,husband,0,-32100,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,20,3,?,0,1,?,60200,6020,6020,48160,Volkswagen,2012,N
186,38,OH,100/300,500,922.85,0,MALE,High School,adm-clerical,golf,husband,70300,-70900,Vehicle Theft,?,Trivial Damage,,NY,7,1,?,1,1,YES,3600,400,400,2800,Honda,1999,N
10,19,IN,250/500,1000,1185.78,0,FEMALE,JD,craft-repair,yachting,wife,0,-60700,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,5,1,?,0,2,?,48950,4450,8900,35600,Accura,2011,Y
166,34,OH,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,18,1,NO,0,2,YES,53680,4880,4880,43920,Honda,2005,N
128,29,OH,500/1000,1000,1878.44,0,MALE,High School,other-service,golf,husband,0,-76000,Single Vehicle Collision,Rear Collision,Total Loss,Fire,VA,2,1,NO,0,0,?,59070,5370,5370,48330,Chevrolet,2003,N
254,46,IL,250/500,2000,1472.43,0,MALE,MD,tech-support,basketball,husband,0,-90600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,3,3,?,1,3,YES,63580,5780,11560,46240,Volkswagen,2004,N
237,43,OH,250/500,500,911.53,0,FEMALE,PhD,sales,basketball,husband,53200,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,23,1,NO,0,1,NO,59200,0,11840,47360,Chevrolet,1998,N
103,26,IL,100/300,500,1354.83,0,MALE,MD,tech-support,sleeping,husband,66300,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,14,2,NO,2,2,?,40600,4060,4060,32480,Volkswagen,2010,N
275,45,IN,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,camping,wife,39400,-63900,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,8,3,YES,1,1,?,64320,5360,10720,48240,Accura,1998,N
280,43,IN,100/300,1000,1559.34,0,MALE,JD,transport-moving,hiking,own-child,0,-51600,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,1,1,NO,0,2,?,77000,14000,7000,56000,Accura,2004,N
105,28,OH,250/500,500,1082.36,0,FEMALE,Associate,prof-specialty,golf,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,12,3,NO,2,2,NO,60500,12100,6050,42350,Audi,1995,N
412,56,IL,250/500,500,1042.56,0,MALE,High School,handlers-cleaners,yachting,own-child,0,-66100,Multi-vehicle Collision,Front Collision,Total Loss,Police,SC,19,3,NO,0,2,NO,68040,15120,7560,45360,Suburu,1997,N
286,41,IL,250/500,1000,1298.85,6000000,FEMALE,High School,sales,camping,other-relative,71300,-70300,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,16,3,?,1,3,YES,54450,6050,12100,36300,Saab,2007,N
254,40,IN,100/300,500,1927.87,0,MALE,MD,prof-specialty,yachting,husband,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,10,1,YES,0,1,?,43280,0,5410,37870,Honda,1996,Y
244,40,IL,100/300,500,1342.8,0,FEMALE,MD,sales,base-jumping,husband,0,0,Vehicle Theft,?,Trivial Damage,Police,NY,2,1,YES,1,3,YES,5940,660,660,4620,Toyota,2014,N
120,35,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,2010,N
285,42,IN,100/300,500,1389.13,0,MALE,Associate,priv-house-serv,golf,not-in-family,63100,-79400,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,13,1,NO,0,3,?,52700,5270,10540,36890,Toyota,2005,N
160,36,OH,100/300,1000,1118.58,0,FEMALE,High School,prof-specialty,board-games,husband,0,-36600,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NY,5,3,NO,2,1,NO,51700,5170,10340,36190,Saab,2003,N
116,31,IN,250/500,500,1194.83,0,FEMALE,MD,prof-specialty,camping,husband,28600,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,23,1,NO,0,0,NO,44200,4420,8840,30940,Suburu,1997,N
27,32,OH,100/300,500,1008.38,0,FEMALE,PhD,adm-clerical,yachting,other-relative,37900,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,11,1,NO,1,0,?,61500,12300,6150,43050,Dodge,2013,N
163,38,IN,500/1000,2000,1453.92,0,FEMALE,PhD,other-service,yachting,other-relative,51700,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,13,1,YES,2,3,?,79500,15900,7950,55650,Accura,1995,N
350,54,OH,500/1000,500,1495.1,0,MALE,College,other-service,basketball,wife,50500,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,15,3,NO,0,0,?,93480,15580,7790,70110,Chevrolet,2014,N
473,58,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,1999,Y
37,31,IL,500/1000,500,1969.63,0,FEMALE,MD,sales,skydiving,own-child,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,21,3,NO,1,1,YES,76450,6950,13900,55600,Dodge,1995,N
216,38,IN,100/300,1000,1384.64,5000000,FEMALE,Associate,tech-support,board-games,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,16,1,?,2,3,NO,66600,16650,11100,38850,Jeep,2012,Y
283,43,IN,100/300,2000,1161.91,0,FEMALE,Associate,adm-clerical,polo,not-in-family,0,-50400,Parked Car,?,Minor Damage,,WV,9,1,?,0,3,NO,5850,1300,650,3900,BMW,2006,N
91,31,IN,100/300,1000,1338.4,4000000,FEMALE,High School,priv-house-serv,polo,own-child,63600,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,NC,19,1,?,1,0,NO,60570,6730,6730,47110,Nissan,2011,N
56,29,IL,100/300,1000,1523.17,0,MALE,Masters,prof-specialty,movies,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,10,3,?,1,2,YES,94560,7880,15760,70920,Jeep,1995,N
108,33,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,6,3,?,0,1,YES,64350,5850,11700,46800,Nissan,2011,Y
273,41,OH,500/1000,1000,1403.9,0,FEMALE,PhD,farming-fishing,dancing,own-child,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,16,2,?,1,2,YES,44110,4010,8020,32080,Honda,2015,N
151,36,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,2000,N
177,38,IL,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,skydiving,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,VA,20,1,YES,2,0,NO,73700,7370,7370,58960,Chevrolet,2001,Y
271,44,OH,250/500,500,1340.71,0,FEMALE,High School,tech-support,base-jumping,other-relative,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,16,1,NO,2,2,NO,76230,6930,13860,55440,Volkswagen,1997,Y
366,50,IN,500/1000,1000,1561.41,0,FEMALE,High School,handlers-cleaners,basketball,husband,21200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,5,3,YES,1,3,NO,70290,12780,12780,44730,Mercedes,2012,N
303,43,OH,500/1000,1000,671.01,7000000,FEMALE,Associate,machine-op-inspct,camping,other-relative,42900,-61500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NC,20,1,?,2,0,?,60210,6690,6690,46830,Nissan,2013,N
214,41,IL,500/1000,500,1398.51,4000000,MALE,Masters,tech-support,polo,not-in-family,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NC,13,3,?,2,0,NO,64000,12800,6400,44800,BMW,1996,Y
175,39,IN,500/1000,500,1359.36,5000000,MALE,PhD,exec-managerial,hiking,husband,0,-43600,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,9,3,YES,2,2,YES,71610,13020,6510,52080,Toyota,2012,Y
156,38,IL,100/300,500,1367.99,0,MALE,High School,armed-forces,board-games,own-child,26500,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,23,3,?,0,3,?,55200,11040,5520,38640,Saab,1998,Y
46,24,OH,250/500,2000,1568.47,4000000,FEMALE,High School,armed-forces,yachting,unmarried,46800,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,7,1,NO,2,0,?,56600,11320,5660,39620,Toyota,1999,N
198,34,OH,250/500,1000,1576.41,0,MALE,Associate,handlers-cleaners,kayaking,other-relative,0,-55100,Single Vehicle Collision,Side Collision,Major Damage,Other,WV,18,1,YES,1,1,YES,95000,9500,9500,76000,Ford,2001,N
316,45,IL,100/300,2000,1290.74,5000000,FEMALE,High School,prof-specialty,kayaking,husband,58300,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,VA,6,3,NO,2,0,YES,78870,7170,14340,57360,Suburu,2013,N
267,43,OH,250/500,500,1300.68,0,MALE,PhD,adm-clerical,sleeping,unmarried,49000,0,Parked Car,?,Minor Damage,,NC,0,1,NO,1,3,YES,1920,480,0,1440,Chevrolet,2011,N
362,50,IL,250/500,500,1198.34,4000000,MALE,Associate,sales,board-games,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,17,3,?,1,1,NO,57060,6340,6340,44380,Mercedes,1995,N
152,33,IN,100/300,1000,1034.27,0,FEMALE,JD,armed-forces,exercise,husband,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,18,1,NO,1,0,NO,63900,7100,7100,49700,Accura,2014,N
142,30,IN,500/1000,500,1412.76,0,MALE,PhD,armed-forces,basketball,wife,66400,-63700,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,22,1,YES,2,3,NO,67320,11220,11220,44880,Volkswagen,1996,N
354,48,IL,500/1000,2000,1526.11,5000000,FEMALE,Masters,sales,exercise,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,12,1,?,2,3,YES,90240,15040,15040,60160,Chevrolet,1995,N
70,28,IL,250/500,1000,1319.81,0,MALE,High School,machine-op-inspct,yachting,husband,67200,-59400,Multi-vehicle Collision,Side Collision,Minor Damage,Police,WV,14,4,NO,1,0,YES,31680,3520,3520,24640,Toyota,2006,N
107,31,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,yachting,own-child,20000,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,21,3,YES,1,2,?,93730,14420,21630,57680,Honda,2001,N
119,28,OH,250/500,2000,1079.92,0,MALE,High School,machine-op-inspct,hiking,husband,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,1,1,?,0,1,YES,53600,6700,6700,40200,Volkswagen,2007,Y
343,52,IL,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,2,1,?,0,2,NO,47630,12990,4330,30310,Toyota,2005,Y
96,26,OH,250/500,2000,1509.04,0,FEMALE,Associate,prof-specialty,bungie-jumping,husband,10000,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,9,1,YES,2,3,NO,78320,7120,14240,56960,Saab,2007,N
210,37,OH,500/1000,500,1467.76,0,FEMALE,MD,tech-support,hiking,own-child,38700,-33100,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,8,1,?,1,3,YES,63300,6330,6330,50640,Toyota,2000,N
9,30,IL,100/300,1000,1073.83,0,FEMALE,High School,machine-op-inspct,dancing,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,12,1,?,0,0,NO,85690,15580,15580,54530,BMW,2011,N
338,47,OH,250/500,2000,1486.04,0,FEMALE,Associate,armed-forces,board-games,own-child,0,-56200,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,1,3,NO,2,3,?,64100,12820,6410,44870,Dodge,2014,Y
230,41,IN,100/300,1000,1464.03,0,MALE,JD,transport-moving,sleeping,own-child,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,19,3,?,2,0,?,53040,4420,4420,44200,Audi,2006,N
192,40,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,yachting,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,2005,N
137,34,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,0,3,?,0,0,?,78650,21450,7150,50050,Nissan,2012,N
282,46,OH,100/300,2000,1558.86,0,MALE,MD,other-service,dancing,wife,51100,-75100,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,2,1,?,2,2,NO,69400,13880,6940,48580,BMW,2012,N
233,43,OH,250/500,1000,954.18,0,FEMALE,College,tech-support,dancing,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,17,3,?,2,3,YES,42500,8500,4250,29750,Nissan,2000,N
147,34,IL,500/1000,1000,1275.81,0,MALE,High School,sales,dancing,wife,0,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,13,1,YES,2,2,?,101010,15540,15540,69930,Mercedes,1998,N
281,43,OH,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,camping,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,21,3,NO,1,0,NO,60190,9260,9260,41670,BMW,1999,N
447,61,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,2006,N
252,46,IN,100/300,1000,1242.02,0,MALE,Masters,adm-clerical,dancing,wife,0,-28800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,VA,17,1,YES,0,2,YES,74900,14980,7490,52430,Jeep,2003,N
292,42,IN,250/500,1000,1588.22,0,MALE,JD,machine-op-inspct,camping,other-relative,0,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,WV,15,3,YES,1,1,NO,84600,16920,8460,59220,Chevrolet,2007,N
436,58,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,other-relative,47400,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,10,1,?,0,2,?,59900,11980,5990,41930,BMW,1997,Y
291,46,OH,500/1000,1000,994.74,0,FEMALE,High School,adm-clerical,polo,own-child,0,-55300,Parked Car,?,Minor Damage,Police,SC,8,1,NO,2,2,YES,5580,620,620,4340,Volkswagen,2005,Y
171,34,IN,250/500,2000,1277.25,0,FEMALE,College,exec-managerial,yachting,other-relative,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,14,1,NO,1,2,?,69200,13840,6920,48440,Volkswagen,1996,Y
146,31,OH,100/300,1000,1457.65,5000000,FEMALE,College,armed-forces,camping,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,VA,0,3,NO,1,3,?,52380,5820,5820,40740,Toyota,2010,N
206,36,IL,500/1000,500,1625.45,4000000,FEMALE,MD,other-service,video-games,other-relative,0,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,11,1,NO,2,1,NO,76560,12760,12760,51040,Ford,2008,Y
257,43,IN,500/1000,2000,929.7,6000000,FEMALE,PhD,handlers-cleaners,base-jumping,husband,46400,-74300,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,12,1,?,2,2,YES,63240,10540,5270,47430,Mercedes,2005,N
230,37,IL,500/1000,1000,1060.74,0,MALE,PhD,tech-support,reading,own-child,0,-51500,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,15,1,YES,2,3,?,49100,9820,4910,34370,Suburu,1996,Y
1,33,OH,250/500,2000,1391.63,0,MALE,Associate,sales,video-games,husband,61200,0,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,23,1,YES,0,3,NO,69400,6940,6940,55520,Mercedes,2000,N
101,27,IL,500/1000,500,982.7,6000000,FEMALE,College,transport-moving,video-games,unmarried,30800,-43700,Parked Car,?,Minor Damage,,SC,9,1,NO,1,0,NO,5170,940,470,3760,Toyota,2001,N
236,39,IN,250/500,1000,1151.39,4000000,FEMALE,Masters,exec-managerial,reading,wife,0,-63900,Parked Car,?,Minor Damage,Police,NY,17,1,YES,0,0,?,8700,870,1740,6090,Accura,2003,N
63,26,IL,500/1000,500,1500.04,6000000,MALE,PhD,craft-repair,polo,own-child,0,-36500,Vehicle Theft,?,Minor Damage,Police,NC,5,1,NO,0,2,YES,5160,860,860,3440,Accura,2004,N
140,35,OH,100/300,1000,1520.78,0,FEMALE,High School,craft-repair,chess,wife,0,-42900,Parked Car,?,Trivial Damage,,SC,5,1,?,0,2,YES,2860,520,260,2080,Chevrolet,1997,Y
122,34,IN,250/500,1000,1220.71,0,MALE,PhD,machine-op-inspct,video-games,own-child,58600,-28700,Parked Car,?,Minor Damage,,SC,5,1,?,2,1,YES,8190,1890,1260,5040,Chevrolet,2013,N
94,32,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,Parked Car,?,Minor Damage,,VA,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,2014,N
151,37,IN,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,14,3,NO,1,2,YES,59100,5910,5910,47280,Nissan,1998,Y
3,29,IL,100/300,500,995.7,5000000,FEMALE,JD,priv-house-serv,chess,unmarried,0,0,Parked Car,?,Trivial Damage,Police,PA,3,1,?,2,1,?,5000,500,1000,3500,Mercedes,2008,Y
342,49,OH,250/500,500,1722.95,0,MALE,PhD,transport-moving,base-jumping,not-in-family,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,3,1,?,2,0,YES,76700,7670,7670,61360,Suburu,2006,N
30,31,IL,250/500,2000,1153.35,0,MALE,PhD,craft-repair,golf,not-in-family,0,0,Vehicle Theft,?,Trivial Damage,Police,NY,9,1,NO,2,1,YES,5760,960,960,3840,Suburu,2011,N
257,40,IN,250/500,500,1379.93,0,MALE,MD,armed-forces,base-jumping,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,6,3,?,0,2,YES,51810,9420,4710,37680,Audi,2002,Y
